1842;report
1848;handprint
1857;another
1859;forest
1862;exercise
1874;Take notes.
1875;to take notes
1876;headline
1877;entertaining
1878;to refer (back) to
1879;to protect
1881;to turn off
1884;bike doctor
1885;to leave on standby
1888;be allowed to do sth
1895;news (pl)
1899;may
1900;advice (no pl)
1901;chewing gum (no pl)
1902;striped
1903;shirt
1905;super (informal)
1908;to cut out
1910;to go on
1919;packaging (no pl)
1927;to keep warm
1928;central heating (no pl)
1929;to plant
1930;to be off
1935;plate
1947;to pick up
1952;Yours sincerely
1953;sensible
1954;strict
1955;to convince
1957;mine
1959;to give away
1968;to wake up
1970;to fall down
1971;to put up
1974;Hurry up!
1976;to stand up
1978;to hold up
1986;to play a trick on sb
1987;to leave sb alone
1990;rowing (no pl)
1991;health (no pl)
1997;a little
2000;hardly
2001;mostly
2003;to keep up
2011;Oh dear! (informal)
2012;to get off
2013;about
2015;Say why.
2016;to score (a goal)
2022;to shoot
2023;all around
2029;to argue (about)
2031;to fall down
2035;while
2041;something else
2042;to stick out
2043;tongue
2044;flag
2045;to hold
2046;to bleed
2048;waiting room
2050;mystery
2051;to solve
2052;to make up
2058;to break one's arm
2059;victim
2060;witness
2061;most
2062;to dislike
2063;to compete
2065;successful
2066;long jump (no pl)
2071;the furthest
2074;high jump (no pl)
2082;competitive
2083;serious
2084;outstanding
2087;to promise
2088;victory
2090;confident
2092;nothing
2093;to give up
2094;to give in
2095;to fight
2098;enthusiastic
2099;loudspeaker
2100;rather
2105;to cross one's fingers for luck
2106;to come on
2108;mad
2111;to keep up
2113;finishing line
2114;dramatic
2116;to come in
2118;impatient
2121;to pronounce
2122;stress
2123;to swim
2124;chant
2125;rhyming
2126;to repeat
2128;to beat
2129;to defeat
2130;to improve
2131;thought
2132;opinion
2133;point of view
2134;ambitious
2135;frustrated
2136;determined
2137;relaxed
2138;jealous
2139;emotional
2140;to be on the move (irr)
2141;agony aunt
2142;kind
2145;to split up (irr)
2148;some
2151;miserable
2158;to hang out with sb (irr)
2161;to have a crush on (irr)
2163;to forget about sth/sb (irr)
2164;nobody
2165;to move on
2168;on the one hand … on the other hand
2169;choice
2170;character
2171;guess
2172;sense
2173;to think of (irr)
2174;following
2175;helpful
2176;amusing
2177;to scan (for)
2184;to turn on
2185;wedding
2187;to fight back (irr)
2195;while (no pl)
2202;as if
2210;relieved
2212;once
2213;point of view
2214;to correct
2215;criterion (pl criteria)
2216;action
2217;as
2218;mood
2219;impression
2220;to illustrate
2221;simple
2222;to feel like doing sth (irr)
2223;to break down (irr)
2225;to feel lost (irr)
2232;I don't care
2233;reasonable
2234;flat
2236;to accept
2237;change
2238;background
2240;to take turns (irr)
2242;survey
2243;to chat (to sb)
2244;farewell
2245;to work out
2246;all evening
2249;as
2255;to come up with sth (irr)
2256;to express
2257;comment
2258;last
2259;to feel sorry (irr)
2260;sweet
2261;whether
2262;upbeat
2263;depressed
2264;catchy
2265;powerful
2267;BFF (= best friends forever)
2269;to be out of sth (irr)
2271;to hang on (irr)
2272;to upload
2273;brave
2275;over
2277;the latest ...
2280;to take off (irr)
2281;memory
2282;to compliment sb
2283;particular
2284;no longer
2285;to make up (irr)
2286;mile
2289;motorway
2290;lake
2292;to go for a walk (irr)
2293;walk
2296;west
2303;high street
2306;decision
2307;day school
2308;boarding school
2309;riding (no pl)
2310;sailing (no pl)
2311;recording studio
2331;atmosphere
2335;form
2340;climbing (no pl)
2341;caving (no pl)
2350;to prefer
2351;suitable
2361;neighbour
2362;statement
2363;player
2364;serious
2365;to earn
2366;to ground
2367;forward(s)
2368;backwards
2369;tackling (no pl)
2370;scrum
2371;guard
2374;if only
2380;personal
2381;formal
2382;informal
2383;incomplete
2384;exclamation
2385;to pass
2386;hope
2387;worry
2397;daily timetable
2398;arrival
2399;registration
2401;assembly
2402;period
2403;break
2404;to depart
2405;prep (no pl)
2407;since
2409;GCSE (= General Certificate of Secondary Education)
2410;A level
2411;kayaking (no pl)
2414;I'd rather (= I would rather)
2415;line
2416;mixed
2417;to realize
2418;to turn sth upside down
2419;to leave out (irr)
2420;to rewrite (irr)
2421;twin
2422;necessary
2423;to comfort
2424;view
2425;to exchange
2428;motivated
2429;sponsored
2431;hospice
2435;challenging
2452;Northern Lights (only pl)
2453;sled
2454;to turn
2455;so that
2456;to argue (about)
2459;Brit (informal)
2460;truth (no pl)
2461;legend
2462;the BBC (= British Broadcasting Corporation)
2465;screwdriver
2484;conflict
2485;object
2486;creature
2487;description
2489;to name
2491;the Norman Conquest
2498;the Channel
2506;to turn around
2515;known
2518;after
2519;to teach (irr)
2520;to publish
2521;to highlight
2523;virgin
2528;to have sth done (irr)
2536;educated
2553;to research
2554;to simplify
2555;to rephrase
2556;to combine
2557;to shorten
2558;unnecessary
2559;order
2560;meaning
2561;French
2562;prefix
2563;suffix
2564;legendary
2565;literary
2566;surprising
2567;pronunciation (no pl)
2568;cue
2569;pair
2570;to match sth to sth
2572;summary
2574;performance
2583;peace (no pl)
2584;to threaten
2585;Roman
2590;not mind doing sth
2593;light-skinned
2596;modest
2601;caption
2604;to disturb
2605;cloaked
2611;a piece of information
2615;stage direction
2616;terrified
2617;to command
2618;to beg
2619;to pay attention (irr)
2620;attention (no pl)
2621;pace
2622;facial expression
2624;to divide into
2625;to edit
2626;to keep sb posted (irr)
2627;to connect
2628;to skim
2634;sure (informal)
2639;from the outside
2641;wonder
2643;right now
2649;LOL (= laughing out loud)
2650;stay
2651;either ... or ...
2652;feeling
2653;close
2654;relationship
2656;complicated
2658;to put sth on the line (irr)
2659;in my opinion
2660;doubt
2661;What's got into ...? (informal)
2662;Welshwoman
2665;That's none of your business. (informal)
2670;for that matter
2671;matter
2674;day in, day out
2675;to point out
2676;to report
2677;effect
2678;Valentine's Day
2680;confused
2681;to insist
2682;set
2683;silent
2684;latest
2685;development
2687;responsible
2688;trouble (no pl)
2689;to introduce
2690;social studies (only pl)
2691;to list
2692;social networking site
2696;cause
2700;to join
2701;recording contract
2703;separate
2704;sheet
2705;setting
2707;username
2711;roller coaster
2712;Guess what!
2713;Valentine's card
2717;to help oneself (to sth)
2722;himself
2724;itself
2726;themselves
2727;use
2728;to burn
2730;to dress
2732;to reassure sb
2733;whether
2735;to panic
2736;on one's own
2740;to turn up
2741;to appear
2742;irritated
2743;amused
2744;to sympathize (with)
2749;What's wrong?
2750;to check in
2751;ending
2752;storyline
2753;spelling (no pl)
2754;diverse
2755;exchange
2756;to consider
2757;far
