Vokabel;Uebersetzung;Status;Fundstelle;Band;Wortart;Beispielsatz;Hinweis
to be keen on sb/sth (informal) (irr);auf jdn/etw scharf sein, hier auch: versessen sein auf;aktiv;5/A3;III;ph;Alex is really keen on football. He loves it.;
guitar;Gitarre;aktiv;5/A3;III;s;;ID 5246356
Turkey;Türkei;passiv;5/A4;III;s;;
medical;medizinisch, ärztlich;aktiv;5/A4;III;a;If you need medical help, you should go to see a doctor.;
dietary;Ernährungs-, Ess-;passiv;5/A4;III;a;;
restriction;Begrenzung, Beschränkung, Einschränkung;passiv;5/A4;III;s;;
to go skiing (irr);Ski fahren gehen;aktiv;5/A4;III;ph;Fred and his family always go skiing in winter.;ID 6200999
Asia;Asien;aktiv;5/A4;III;s;Japan is in Asia.;
particularly;besonders, vor allem;aktiv;5/A4;III;av;Pete likes fruit, particularly apples.;
piano;Klavier, Piano;aktiv;5/A4;III;s;;
divorced;geschieden;aktiv;5/A4;III;a;Tom’s parents are divorced so he lives with his dad.;
to be allergic to sth (irr);auf etw allergisch reagieren, gegen etw allergisch sein;aktiv;5/A4;III;ph;Sam is allergic to strawberries. It would be dangerous for him to eat them.;
vegetarian;Vegetarier/in, vegetarisch;aktiv;5/A4;III;s/a;;
custom;Sitte, Brauch, Gewohnheit;passiv;5/B1;III;s;;
to get on (with sb) (irr);sich (mit jdm) verstehen;aktiv;5/B2;III;ph;Ben and his brother get on really well with each other.;
tea (no pl);Tee;aktiv;5/B3;III;s;a cup of tea;ID 5143595
biscuit;Keks, Biskuit;aktiv;5/B3;III;s;;
tap water (no pl);Leitungswasser;passiv;5/B3;III;s;;
tap;(Wasser)hahn;passiv;5/B3;III;s;;
bottled;in Flaschen abgefüllt;passiv;5/B3;III;a;;
to be thirsty (irr);Durst haben, durstig sein;aktiv;5/B3;III;ph;I’m really thirsty. May I have a drink?;
curry;hier: indisches (Eintopf)gericht;passiv;5/B3;III;s;;
Indian;Inder/in, Indianer/in, indisch, indianisch;passiv;5/B3;III;s/a;;
musician;Musiker/in;aktiv;5/B3;III;s;Pink and Robbie Williams are famous musicians.;
to mean to do sth (irr);etw tun wollen, etw beabsichtigen;aktiv;5/B3;III;ph;William didn’t mean to be late, but he missed the bus.;
shower;Schauer, Regen, Dusche;passiv;5/B3;III;s;;
ought to do sth;etw tun sollen;aktiv;5/B3;III;ph;I ought to tidy my room, but I’m tired.;
choosy;wählerisch, heikel;aktiv;5/B5;III;a;Claire is very choosy. She doesn’t like a lot of things.;
spicy;würzig, scharf;passiv;5/B5;III;a;;
tea bag;Teebeutel;passiv;5/B5;III;s;;
direct;direkt, unmittelbar;aktiv;5/B5;III;a;Chris is very direct and always says what he is thinking.;
neither of ...;keine(r)/kein(e)s von ... beiden;passiv;5/B5;III;ph;;
to apologize (to/for);sich entschuldigen (bei/für);aktiv;5/B9;III;v;Tim didn’t apologize when he was late for class, so his teacher was very angry.;
apology;Entschuldigung, Bedauern;aktiv;5/B9;III;s;You broke Harry's Xbox so I think an apology is needed. – I'm sorry Harry.;
misunderstanding;Missverständnis, Meinungsverschiedenheit;aktiv;5/B10;III;s;There must have been a misunderstanding, I asked for apple juice, not orange juice.;
expression;Ausdruck, Äußerung;aktiv;5/B10;III;s;;
combination;Kombination, Verbindung;aktiv;5/B11;III;s;Ice cream and chocolate are a great combination.;
Bengali;Bengale/Bengalin, Bengali (Sprache), bengalisch;passiv;5/B11;III;s/a;;
line;Linie, hier: Reihe;aktiv;5/B11;III;s;;
balti (no pl);pakistanische Art des Kochens;passiv;5/B11;III;s;;
fabric;Stoff;passiv;5/B11;III;s;;
once;früher, einst;aktiv;5/B11;III;av;Claire's dad was once in a band. He played the guitar.;
elsewhere;woanders, anderswo;passiv;5/B11;III;av;;
brewery;Brauerei;passiv;5/B11;III;s;;
independent;unabhängig, selbstständig;aktiv;5/B11;III;a;Hanna is very independent. She does a lot of things on her own.;
business (no pl);Handel, Geschäft, hier: Unternehmen;passiv;5/B11;III;s;;
type;Art, Typ, Sorte;aktiv;5/B11;III;s;There were so many types of crisps in the shop. She didn't know which to buy.;ID 6114290
bakery;Bäckerei, Bäcker- und Konditorei;passiv;5/B11;III;s;;
paragraph;Absatz, Abschnitt;passiv;5/B14;III;s;;
tube;Röhre, hier: die (Londoner) U-Bahn;passiv;5/B14;III;s;;
embankment;(Straßen)damm, Böschung, Uferbefestigung;passiv;5/B14;III;s;;
escalator;Rolltreppe;aktiv;5/B14;III;s;;
bridge;Brücke;aktiv;5/B14;III;s;;ID 5004903
artist;Künstler/in;aktiv;5/B14;III;s;;
statue;Statue;passiv;5/B14;III;s;;
fish and chips (no pl);fritierter Fisch mit Pommes frites;aktiv;5/B14;III;s;Fish and chips is a very popular meal in England.;
cyclist;Radfahrer/in;aktiv;5/B14;III;s;;ID 1383691
to take a (closer) look at sth (irr);sich etw (genauer) ansehen;aktiv;5/B14;III;ph;;
structure;Struktur, Aufbau;aktiv;5/B14;III;s;;
to be into sb/sth (informal, irr);an jdm/etw interessiert sein;aktiv;5/C;III;ph;Danielle is really into music. She likes it a lot.;
pinboard;Pinnwand;passiv;5/C1;III;s;;
Formula 1 (no pl);Formel 1;passiv;5/C1;III;s;;
heptathlon (no pl);Siebenkampf;passiv;5/C1;III;s;;
athlete;Athlet/in;aktiv;5/C2;III;s;There were athletes from all over the world at the Olympic Games in London.;
to develop;entwickeln, entstehen, erarbeiten;aktiv;5/C4;III;v;;
elbow;Ell(en)bogen;aktiv;5/C4;III;s;;ID 1389838
talented;talentiert, begabt;aktiv;5/C4;III;a;;
sprinter;(Kurzstrecken)läufer/in;passiv;5/C4;III;s;;
passion;Passion, Vorliebe, Leidenschaft;aktiv;5/C4;III;s;;
to compete;wetteifern, antreten, kämpfen;aktiv;5/C4;III;v;Would you like to compete in the Olympics?;
career;Beruf, Karriere, Werdegang;aktiv;5/C4;III;s;career = job;
Paralympics (only pl);olympische Spiele für Behinderte;passiv;5/C4;III;s;;
in addition (to);zusätzlich (zu);aktiv;5/C4;III;ph;;
to be keen to do sth (irr);etw unbedingt tun wollen;aktiv;5/C4;III;ph;I am keen to go to Scotland because it looks interesting.;
to continue doing sth/to do sth;weiter(hin) etw tun;aktiv;5/C4;III;ph;to continue doing sth ↔ to stop doing sth;
to focus;sich konzentrieren, fokussieren;aktiv;5/C4;III;v;to focus = to concentrate;
