Vokabel;Uebersetzung;Status;Fundstelle;Band;Wortart;Beispielsatz;Hinweis
statement;Äußerung, Aussage;passiv;5/B7;I;s;;
to be lucky;Glück haben;aktiv;5/B7;I;ph;I found £ 10 yesterday. - You'*re lucky*!;
lucky;"glücklich (Glück habend; Glück bringend)";aktiv;5/B7;I;a;;
difficult;schwierig, schwer;aktiv;5/B7;I;a;*difficult* <> easy;
disappointed;enttäuscht;aktiv;5/B8;I;a;My parents say I can't have a dog. I'm very *disappointed*.;
safe;sicher;aktiv;5/B8;I;a;In the dark I don't feel *safe*.;
scared;verängstigt;aktiv;5/B8;I;a;When I hear strange noises at night I'm *scared*.;
surprised;überrascht, erstaunt;aktiv;5/B8;I;a;She looks *surprised*.;ID1395874
pleased;froh, zufrieden;aktiv;5/B8;I;a;;
shocked;schockiert, entsetzt;aktiv;5/B9;I;a;Tom shouted at his teacher. The other pupils were *shocked*.;
to be wrong;nicht stimmen, hier: sich irren;aktiv;5/B9;I;ph;Charlie is nine. - You'*re wrong*.;
second;Sekunde;passiv;5/B9;I;s;;
possible;möglich;aktiv;5/B9;I;a;I'm afraid we can't have a dog. It's not *possible*.;
I'd love to have;ich hätte gerne;passiv;5/B9;I;ph;;
to give sth a go;etw versuchen;passiv;5/B9;I;ph;to give sth a go = to try;
the other one;der/die andere;aktiv;5/B10;I;ph;I don't mean the black cat, I mean *the other one*.;
to understand;verstehen;aktiv;5/B10;I;irr;I don't *understand* the word 'scary'. What does it mean?;
animal shelter;Tierheim;passiv;5/B10;I;s;;
real;wirklich, echt;aktiv;5/B10;I;a;Ghosts are not *real*.;
to explain (sth to sb);(jdm etw) erklären;aktiv;5/B10;I;ph;I don't understand. Can you *explain* it *to me*?;
to practise;üben;aktiv;5/B10;I;v;You should *practise* your poem. Then you can present it.;
chameleon;Chamäleon;passiv;5/C2;I;s;;
little;klein(e, er, es);aktiv;5/C2;I;a;My *little* sister is seven.;
dinosaur;Dinosaurier;passiv;5/C2;I;s;;
everywhere;überall;aktiv;5/C2;I;av;In Caroline's room, there are elephants *everywhere*.;
much;viel;aktiv;5/C2;I;a;;
to feed;(zu) essen geben, füttern;aktiv;5/C2;I;irr;;
fed;Vergangenheitsform von feed;passiv;5/C2;I;irr;;
ill;krank;aktiv;5/C2;I;a;;
didn't (= did not);"Vergangenheitsform von ""don't/doesn't""";aktiv;5/C2;I;ph;;
to look after;sich kümmern um;aktiv;5/C2;I;v;I can't come to the party. I have to *look after* my little brother.;
to wiggle (out);(nach draußen) schlängeln;passiv;5/C2;I;ph;;
garden;Garten;aktiv;5/C2;I;s;;
to get away;fortkommen, flüchten;aktiv;5/C2;I;irr;The pickpockets *got away*.;
What a pity;Wie schade!;passiv;5/C2;I;ph;;
to take away;wegnehmen, mitnehmen;passiv;5/C2;I;irr;;
to drive;fahren;aktiv;5/C2;I;irr;Can you *drive* a car? - No, I'm too young.;
drove;Vergangenheitsform von drive;passiv;5/C2;I;irr;;
to miaow;miauen;passiv;5/C2;I;v;;
had;Vergangenheitsform von have;passiv;5/C2;I;irr;;
to walk;zu Fuß gehen, hier: laufen;aktiv;5/C2;I;v;;
not ... anymore;nicht mehr;passiv;5/C2;I;ph;;
to take ... for a walk;... spazieren führen, hier: Gassi gehen mit ...;aktiv;5/C2;I;ph;He *takes* the dog *for a walk* every Tuesday.;
sad;traurig;aktiv;5/C2;I;a;*sad* <> happy;
What happened?;Was geschah?;passiv;5/C4;I;ph;;
(it) makes me feel ...;(es) macht mich ...;passiv;5/C4;I;ph;It makes me sad.;
unhappy;unglücklich;aktiv;5/C4;I;a;;
upset;aufgeregt, aufgebracht, bestürzt;aktiv;5/C4;I;a;Her hamster is very ill. She's very *upset*.;
news (pl);Neuigkeit, Nachricht;passiv;5/C6;I;s;;
friendly;freundlich;aktiv;5/C6;I;a;That's Mr Coleman. He's very *friendly*.;ID1395873
How many ...?;Wie viele ...?;aktiv;5/C6;I;ph;*How many* apples do we need?;
how many;wie viele;aktiv;5/C6;I;ph;;
to get back;zurückkommen;aktiv;5/C6;I;irr;;
these (= pl of this);diese;aktiv;5/C6;I;d;;ID4107006
care;Betreuung, Aufsicht, Pflege;passiv;5/C6;I;s;;
not even;noch nicht einmal;passiv;5/C6;I;ph;;
how much;wie viel;aktiv;5/C6;I;ph;;
How much …?;Wie viel …?;aktiv;5/C6;I;ph;*How much* flour do we need?;
those (= pl of that);diese;aktiv;5/C6;I;d;;ID4107006
guinea pig;Meerschweinchen;passiv;5/C6;I;s;;
Christmas;Weihnachten;passiv;5/C6;I;s;;
What's wrong with ...?;Was stimmt nicht mit ...?, Was fehlt ...?;aktiv;5/C6;I;ph;He seems ill. *What's wrong with* him?;
bad;schlecht, hier: schlimm;aktiv;5/C6;I;a;;
to get used to;sich gewöhnen an;aktiv;5/C6;I;ph;I can't *get used to* my new mobile phone.;
so;also;passiv;5/C6;I;i;;
helper;Helfer/in;passiv;5/C6;I;s;;
for;für, hier: zum;passiv;5/C9;I;pr;;
toy;Spielzeug(-);passiv;5/C11;I;s/a;Caroline has got a lot of toy elephants.;
to present (sth to sb);(jdm etw) präsentieren;passiv;5/C11;I;v;;
to decide;entscheiden, bestimmen;aktiv;5/C11;I;v;His parents *decided* to find a new school for him.;
Britain;Großbritannien;aktiv;6/A;I;s;*Great Britain* = England, Wales, Scotland;
wish;Wunsch;passiv;6/A1;I;s;;
brochure;Broschüre, Katalog;aktiv;6/A1;I;s;;
isle;Insel, Eiland;passiv;6/A1;I;s;;
sea (no pl);Meer, (die) See;aktiv;6/A1;I;s;Fish live in the *sea*.;
beach;Strand;aktiv;6/A1;I;s;;
mountain;Berg;aktiv;6/A1;I;s;;ID1394769
Scotland;Schottland;aktiv;6/A1;I;s;;
(a) must (no pl);(ein) Muss;passiv;6/A1;I;s;;
stone;Stein;aktiv;6/A1;I;s;A *stone* can be very heavy.;
fascinating;faszinierend;aktiv;6/A1;I;a;;
circle;Kreis;passiv;6/A1;I;s;;
see for yourself;"sieh selbst; sehen Sie selbst";passiv;6/A1;I;ph;;
visitor;Besucher/in, Gast;aktiv;6/A1;I;s;;
centre;Zentrum, Mitte;aktiv;6/A1;I;s;;
adventure;Abenteuer, Erlebnis;aktiv;6/A1;I;s;;
on the beach;am Strand;passiv;6/A1;I;ph;;
like;wie;aktiv;6/A1;I;pr;There are lots of amazing activities *like* surfing or sailing.;
sailing;Segeln;passiv;6/A1;I;s;;
mountain biking;mountainbiken;passiv;6/A1;I;s;;
abseiling (no pl);Abseilen;passiv;6/A1;I;s;;
north;Norden, nördlich, Nord-;aktiv;6/A1;I;s/a;;
UK (= the United Kingdom);Vereinigtes Königreich;aktiv;6/A1;I;s;;
the place to go;da muss man einfach hin!;passiv;6/A1;I;ph;;
tough;robust, zäh;passiv;6/A1;I;a;;
ride;Fahrt;passiv;6/A1;I;s;;
roller coaster;Achterbahn;passiv;6/A1;I;s;;
price;Preis;aktiv;6/A1;I;s;;ID102867
soccer;Fußball;passiv;6/A1;I;s;;
camp;(Zelt)lager;passiv;6/A1;I;s;;
to spend;verbringen (Zeit), ausgeben (Geld);aktiv;6/A1;I;irr;I want to *spend* a lot of time with my friends.;
technique;Technik, Verfahren;passiv;6/A1;I;s;;
coach;Trainer/in;aktiv;6/A1;I;s;Our football *coach* always teaches us new techniques.;
to be free;frei haben/sein, Zeit für etw haben;aktiv;6/A1;I;ph;Can we meet at six o'clock? *Are* you *free*?;
ft (= foot, pl feet);Fuß (= 0,3048 Meter);passiv;6/A1;I;s;;
underground;unter der Erde;passiv;6/A1;I;av;;
miner;Bergarbeiter/in;passiv;6/A1;I;s;;
national;national;aktiv;6/A1;I;a;Lisa is very good. She plays for the German *national* team.;
to climb (up);(hinauf)steigen, klettern (auf), besteigen;aktiv;6/A1;I;v;Let's *climb up* Mount Snowdon!;
coal;Kohle;passiv;6/A1;I;s;;
dolphin;Delfin;passiv;6/A1;I;s;;
coast;Küste;aktiv;6/A1;I;s;;
to take a tour;eine Reise machen;passiv;6/A1;I;ph;;
mine;"Bergwerk; Kohlegrube; Mine";passiv;6/A1;I;s;;
even;selbst, sogar;aktiv;6/A1;I;av;You can *even* find gold in Wales!;
experience (no pl);Erfahrung, Erlebnis;aktiv;6/A1;I;s;I saw a dolphin. It was a fascinating *experience*.;
attractive;attraktiv, verlockend;aktiv;6/A2;I;a;Greece is a very *attractive* place for a holiday.;
to rank;einstufen, anordnen;passiv;6/A2;I;v;;
English-speaking;englischsprachig;passiv;6/A3;I;a;;
diary;Tagebuch;aktiv;6/B1;I;s;Every day I write something in my *diary*.;
optimistic;optimistisch;aktiv;6/B1;I;a;;
delighted;hocherfreut, begeistert;aktiv;6/B1;I;a;;
Dear ...,;Sehr geehrte(r) ..., hier: Liebe(r, s) ...;aktiv;6/B1;I;a;;
awful;furchtbar, schrecklich;aktiv;6/B1;I;a;;
exam;Prüfung;aktiv;6/B1;I;s;The *exam* was *awful*. I couldn't answer the questions.;
at all;überhaupt;passiv;6/B1;I;ph;;
central heating (no pl);Zentralheizung;passiv;6/B1;I;s;;
to care (about);sich etw machen (aus);aktiv;6/B1;I;ph;I don't *care about* football. I like basketball.;
to go surfing;surfen gehen;aktiv;6/B1;I;ph;;
weather;Wetter;aktiv;6/B1;I;s;The *weather* is beautiful. Let's go to the beach.;
to bet;wetten;passiv;6/B1;I;irr;;
to rain;regnen;aktiv;6/B1;I;v;;
all summer;den ganzen Sommer;aktiv;6/B1;I;ph;It rained *all summer*.;
to be over;vorbei sein;aktiv;6/B1;I;ph;School *is over*. It's the holidays now.;
That would be great.;Das wäre toll.;aktiv;6/B1;I;ph;Tea? - *That would be great*.;
exactly;genau;aktiv;6/B1;I;av;I love dogs. So a hamster is not *exactly* my dream pet.;
than;als;passiv;6/B1;I;pr;;
Things are looking up.;Es geht wieder aufwärts.;passiv;6/B1;I;ph;;
feeling;Gefühl;aktiv;6/B1;I;s;Ella has a good *feeling* about her test.;
map;(Land)karte, (Stadt)plan;aktiv;6/B2;I;s;;
Thank you so much!;Vielen, vielen Dank!;passiv;6/B2;I;ph;;
last;letzte(r, s);aktiv;6/B2;I;a;*last* year - this year - next year;
cottage;Landhaus, Hütte;passiv;6/B2;I;s;;
far;weit;passiv;6/B2;I;a;;
at first;zuerst;aktiv;6/B2;I;ph;*At first* I didn't like it, but then I enjoyed our holiday.;
village;Dorf;passiv;6/B2;I;s;;
away;weg;aktiv;6/B2;I;av;3000 kilometres? That's *far away*.;
all the time;die ganze Zeit;aktiv;6/B2;I;ph;The shop is open 7 days a week, 24 hours a day. It's open *all the time*.;
to hide;(sich) verstecken;aktiv;6/B2;I;irr;Jack *hid* behind a tree.;
tower;Turm;aktiv;6/B2;I;s;;
lady;Frau, Dame;aktiv;6/B2;I;s;*lady*;ID1394787
to walk up;hinaufgehen;passiv;6/B2;I;v;;
lovely;schön, hübsch, nett;aktiv;6/B2;I;av;I like it here. It's a *lovely* place.;
railway;Gleise, Schienen, hier: (Eisen)bahn;passiv;6/B2;I;s;;
pony-trekking;Ponyreiten;passiv;6/B2;I;s;;
to agree;zustimmen;aktiv;6/B2;I;v;It was a very funny film. - Yes, I *agree*.;
to go to the seaside;ans Meer fahren;aktiv;6/B4;I;ph;Let's *go to the seaside* and enjoy the beach!;
seaside (BE, no pl);(Meeres)küste;aktiv;6/B4;I;s;;
to go camping;zelten gehen;aktiv;6/B4;I;ph;;
sightseeing (no pl);Besichtigungen, Sightseeing;aktiv;6/B4;I;s;;
to do sightseeing;eine Besichtigungstour machen;aktiv;6/B4;I;ph;;
to ride;fahren (mit), reiten;aktiv;6/B4;I;irr;I always *ride* my *bike* to school.;
bike (informal);(Fahr)rad;aktiv;6/B4;I;s;;
about;über, hier: von;passiv;6/B4;I;pr;;
result;Folge, hier: Ergebnis;aktiv;6/B4;I;s;;
to stay;bleiben, hier: sich aufhalten, untergebracht sein;aktiv;6/B5;I;v;;
to be called;genannt werden, heißen;aktiv;6/B5;I;ph;George's dog *is called* Patch.;
orienteering (no pl);Orientierungslauf;aktiv;6/B5;I;s;;
to cost;kosten;passiv;6/B5;I;irr;;
to help out;aushelfen;passiv;6/B5;I;v;;
entry;Eintrag;passiv;6/B8;I;s;;
sun;Sonne;aktiv;6/C1;I;s;;
ship;Schiff;aktiv;6/C1;I;s;*ship*;ID1400566
to sleep late;lange schlafen, ausschlafen;aktiv;6/C1;I;ph;It's Sunday. We can *sleep late*!;
around;umher;passiv;6/C1;I;av;;
to rhyme;(sich) reimen;passiv;6/C1;I;v;;
suitcase;Koffer;aktiv;6/C4;I;s;;
shoe;Schuh;aktiv;6/C4;I;s;;
sunglasses (pl);Sonnenbrille;aktiv;6/C4;I;s;The weather is great. Don't forget your *sunglasses*.;
hair dryer;Föhn, Haartrockner;passiv;6/C4;I;s;;
trainer;Trainer/in, Turnschuh;aktiv;6/C4;I;s;Where are my *trainers*? I want to play basketball.;
swimsuit;"Badeanzug; Badehose";passiv;6/C4;I;s;;
umbrella;(Regen)schirm;aktiv;6/C4;I;s;*umbrella*;ID1400568
camera;Kamera, Fotoapparat;aktiv;6/C4;I;s;Can I take a photo with your *camera*?;
hiking boots (pl);Wanderschuhe;passiv;6/C4;I;s;;
boot;Stiefel;aktiv;6/C4;I;s;*boot*;ID1400563
wellington (boot) (BE);Gummistiefel;passiv;6/C4;I;s;;
on holiday;im Urlaub, in den Ferien;aktiv;6/C4;I;ph;We went to Greece *on holiday*.;
at the front (of);vorne;passiv;6/C5;I;ph;;
to go walking;wandern, spazieren gehen;aktiv;6/C6;I;ph;Let's *go walking*! - I'm afraid I want to go to the beach.;
Scottish;schottisch;passiv;6/C6;I;a;;
only;einzige(r, s);aktiv;6/C6;I;a;;
to get to;erreichen;aktiv;6/C6;I;ph;;
Typical! (informal);Typisch!;passiv;6/C6;I;i;;
island;Insel;aktiv;6/C6;I;s;*island*;ID1400565
legend;Sage, Legende;passiv;6/C6;I;s;;
Viking;"Wikinger/in; wikingisch";passiv;6/C6;I;s/a;;
troll;Troll (Kobold);passiv;6/C6;I;s;;
puffin;Papageientaucher;passiv;6/C6;I;s;;
to be interested (in);sich interessieren (für), interessiert sein (an);aktiv;6/C6;I;ph;I like IT. I'*m interested in* computers.;
tomorrow;morgen;aktiv;6/C6;I;av;yesterday - today - *tomorrow*;
to go whale-watching;Wale beobachten gehen;passiv;6/C6;I;ph;;
whale;Wal;passiv;6/C6;I;s;;
to go seal-spotting;Seehunde beobachten gehen;passiv;6/C6;I;ph;;
rain (no pl);Regen;aktiv;6/C6;I;s;;
sunny;sonnig;aktiv;6/C7;I;a;It's *sunny* and *warm*.;ID1394779
warm;warm;aktiv;6/C7;I;a;;ID1394779
to spot;entdecken;passiv;6/C7;I;v;;
dinner;Abendessen, Mittagessen;aktiv;6/C7;I;s;;
(full) moon;(Voll)mond;passiv;6/C7;I;s;;
moon;Mond;passiv;6/C7;I;s;;
tonight;heute Abend;aktiv;6/C7;I;av;Let's go to the cinema *tonight*. - What about eight o'clock?;
to spoil (it for sb);(es jdm) verderben;passiv;6/C7;I;ph;;
toward(s);in Richtung;aktiv;6/C7;I;pr;;
moonlight;Mondlicht;passiv;6/C7;I;s;;
cloud;Wolke;aktiv;6/C7;I;s;The sun is hiding behind the *clouds*.;
across;über;aktiv;6/C7;I;pr;I am walking *across* the street.;
to work;arbeiten, hier: funktionieren;aktiv;6/C7;I;v;Charlie's trick *worked*.;
quickly;schnell;aktiv;6/C7;I;av;We have to work *quickly*.;
ending;Ende, Schluss;passiv;6/C7;I;s;;
postcard;Postkarte;aktiv;6/C9;I;s;Can you send me a *postcard* from Greece?;
to puzzle out;herausfinden, entschlüsseln;passiv;6/C9;I;ph;;
See you soon! (informal);bis bald!;aktiv;6/C9;I;ph;Bye! - *See you soon*!;
to look forward to doing sth;sich darauf freuen, etw zu tun;aktiv;6/C9;I;ph;*I'm looking forward to going to the beach*.;
to look forward to sth;sich auf etw freuen;aktiv;6/C9;I;ph;*I'm looking forward to the party*.;
to wish;wünschen;aktiv;6/C9;I;v;;
Wish you were here!;(ich) wünschte, du wärst hier!;passiv;6/C9;I;ph;;
love;Liebe, hier: alles Liebe (Briefschlussformel);passiv;6/C9;I;s;;
to send;(zu)schicken;aktiv;6/C11;I;irr;Please *send* me a letter from London.;
souvenir;Andenken, Souvenir;passiv;1/A;II;s;;
as ... as;so ... wie;aktiv;1/A1;II;ph;John is *as* tall *as* Mark.;ID 1389846
most;(die) meisten;aktiv;1/A1;II;a;*Most* children like chocolate.;
to organize;organisieren, hier: ordnen;aktiv;1/A1;II;v;;
back;(wieder) zurück;aktiv;1/A2;II;av;It’s September. The pupils are *back* from holiday.;
to complete;vervollständigen, ausfüllen;aktiv;1/A2;II;v;*Complete* the grid.;
grid;Gitter(netz), hier: Tabelle;aktiv;1/A2;II;s;Complete the *grid*.;
whose;wessen;aktiv;1/A2;II;p;;ID 4754620
which;welche(r, s);aktiv;1/A2;II;d;;
best;am liebsten/am meisten;aktiv;1/A2;II;av;I like a holiday by the sea *best*.;
to prepare;vorbereiten, erstellen;aktiv;1/A3;II;v;At the weekend, Lynn *prepares* breakfast for her parents.;
to ask (for sth);(um etw) bitten;aktiv;1/A3;II;v;You can *ask* Sarah *for* help.;
to collect;sammeln, hier: aufheben;aktiv;1/A3;II;v;The teacher *collected* the pupils’ homework.;
home town;Heimatstadt;passiv;1/A3;II;s;;
to find out;herausfinden;aktiv;1/A3;II;irr;Look on the Internet to *find out* more about the Isle of Lewis.;
(too) bad;(zu) schade;passiv;1/A3;II;ph;;
exciting;aufregend, spannend;aktiv;1/A3;II;a;;
camping (no pl);Camping, Zelten;passiv;1/A3;II;s;;
rainy;regnerisch;passiv;1/A3;II;a;;
cloudy;bewölkt, bedeckt;passiv;1/A3;II;a;;
foggy;neblig;passiv;1/A3;II;a;;
snowy;schneereich;passiv;1/A3;II;a;;
presentation;Präsentation;aktiv;1/A3;II;s;Jill’s *presentation* was very good.;ID 1401925
to speak up;lauter sprechen;passiv;1/A3;II;irr;;
clear;klar, deutlich;passiv;1/A3;II;a;;
neat;ordentlich, sauber;passiv;1/A3;II;a;;
tidy;ordentlich;passiv;1/A3;II;a;;
a bit;ein bisschen, ein wenig;aktiv;1/A3;II;ph;Could you speak up *a bit*, please? I can’t hear you.;
informative;informativ;passiv;1/A3;II;a;;
about;über;passiv;1/B1;II;pr;;
to note down;(sich) notieren;aktiv;1/B1;II;ph;to *note down* = to write down;
cute;süß, niedlich;passiv;1/B1;II;a;;
snow (no pl);Schnee;aktiv;1/B1;II;s;Last winter, there was a lot of *snow*.;
pretty;hübsch, nett;aktiv;1/B1;II;a;very *pretty* = beautiful;
so;also;passiv;1/B1;II;i;;
stable;Stall, Box;passiv;1/B1;II;s;;
to go for a ride;eine Fahrt machen, hier: ausreiten;passiv;1/B1;II;ph;;
ride;Fahrt;passiv;1/B1;II;s;;
country;Land;aktiv;1/B1;II;s;Germany is a *country*.;
no;kein/e;aktiv;1/B1;II;a;;
than;als;aktiv;1/B1;II;pr;More *than* 60 million peole live in the UK.;
only;nur;passiv;1/B1;II;av;;
a small one;ein(e) kleine(s, r);aktiv;1/B1;II;ph;;
boring;langweilig;aktiv;1/B1;II;a;*boring* ↔ exciting, interesting;
barbecue;Grill, Grillparty;aktiv;1/B1;II;s;The weather is great. Let’s have a *barbecue*!;
race;Rennen;aktiv;1/B1;II;s;Geoff won the *race*.;ID 4754616
start;Anfang, Beginn;aktiv;1/B1;II;s;*start* ↔ end;
suddenly;plötzlich;aktiv;1/B1;II;av;*Suddenly* he started to cry. I was very surprised.;
to fall off;(hinunter)fallen;passiv;1/B1;II;irr;;
fast;schnell;aktiv;1/B1;II;a;It’s late. Let’s get back as *fast* as we can.;
both;beide;aktiv;1/B1;II;p;They are *both* from London.;ID 1389810
nobody;niemand, keiner;passiv;1/B1;II;p;;
No way! (informal);Ausgeschlossen!, hier: Jetzt echt, oder?;passiv;1/B1;II;ph;;
to be left;übrig bleiben;passiv;1/B1;II;ph;;
better;besser;aktiv;1/B1;II;a;good → *better* → best;
so;also, deshalb;aktiv;1/B1;II;k;;
the only one;der/die/das Einzige;passiv;1/B1;II;ph;;
anyone;(irgend)jemand;aktiv;1/B1;II;p;What’s 13 x 23? Does *anyone* know the answer?;
to miss;vermissen;aktiv;1/B1;II;v;When I’m on holiday, I always *miss* my cat.;
after all;schließlich, hier: zumindest;aktiv;1/B1;II;ph;;
phrase;Satz, Ausdruck;aktiv;1/B2;II;s;;
to structure;strukturieren;aktiv;1/B2;II;v;;
first;zuerst, als Erstes;aktiv;1/B2;II;av;*First* we went to the cinema, then we went to a party.;
love;Liebe, hier: alles Liebe (Briefschlussformel);aktiv;1/B2;II;s;;
city;(Groß)stadt(-), städtisch;aktiv;1/B3;II;s/a;*city* ↔ country;
to fill in;(aus)füllen, eintragen;aktiv;1/B4;II;ph;*Fill in* the grid.;
careful;vorsichtig;aktiv;1/B4;II;a;;
to compare;vergleichen;aktiv;1/B5;II;v;*Compare* them. The girl is taller than the boy.;ID 4754621
delicious;köstlich, lecker;aktiv;1/B5;II;a;This cake is *delicious*. Can I have the recipe?;
support;Unterstützung, hier: Hilfestellung;aktiv;1/B5;II;s;;
scarf;Schal;aktiv;1/B5;II;s;This *scarf* is £14.99.;ID 3101628
except;außer;passiv;1/B7;II;pr;;
first;erste(r, s);passiv;1/B7;II;a;;
abseiling (no pl);Abseilen;passiv;1/B7;II;s;;
the next day;am nächsten Tag;passiv;1/B7;II;ph;;
zip wire;Seilrutsche;passiv;1/B7;II;s;;
everyone;jede/r;aktiv;1/B7;II;p;*everyone* = everybody;
instructor;hier: Betreuer/in;passiv;1/B7;II;s;;
compass;Kompass;passiv;1/B7;II;s;;
treasure (no pl);Schatz;passiv;1/B7;II;s;;
box;Kiste, Schachtel;passiv;1/B7;II;s;;
woods (pl);Wald;passiv;1/B7;II;s;;
around;umher, um, rund um, um … herum;aktiv;1/B7;II;av/pr;;
while;während;aktiv;1/B7;II;k;Tom didn’t say a word *while* the others laughed.;
if;wenn, falls, ob;aktiv;1/B7;II;k;Please bring me the book *if* you can find it.;
just;nur, bloß, einfach;passiv;1/B7;II;av;;
river;Fluss;aktiv;1/B7;II;s;The Thames is a *river*.;
mark;Fleck, (Kenn)zeichen, hier: Markierung;passiv;1/B7;II;s;;
opposite;gegenüberliegend;aktiv;1/B7;II;a;;ID 4754625
direction;Richtung;aktiv;1/B7;II;s;;ID 4754625
here you go;Hier, bitte!, Bitte schön!;passiv;1/B7;II;ph;;
angrily;verärgert, zornig, wütend;passiv;1/B7;II;av;”Stop it!“ he shouted angrily.;
to remember;sich erinnern;aktiv;1/B7;II;v;to *remember* ↔ to forget;
to turn (a)round;sich umdrehen;passiv;1/B7;II;ph;;
the others;die anderen;passiv;1/B7;II;p;;
however;jedoch;aktiv;1/B7;II;av;;
through;durch;aktiv;1/B7;II;pr;Let’s walk *through* the park.;
until;bis;aktiv;1/B7;II;pr;;
to become;werden;aktiv;1/B7;II;irr;*!* „to *become*“ bedeutet „werden“. „to get“ bedeutet „bekommen“.;
nervous;nervös;aktiv;1/B7;II;a;Lucy gets very *nervous* during exams.;
it's OK (informal);es geht schon;passiv;1/B7;II;ph;;
almost;fast, beinahe;aktiv;1/B7;II;av;;
hill;Hügel, Berg;aktiv;1/B7;II;s;;
to be lost;sich verirrt haben, sich verlaufen haben;passiv;1/B7;II;ph;;
that;das, der/die/das;passiv;1/B9;II;p;;
structure;Struktur, Aufbau;passiv;1/B9;II;s;;
e.g.;z. B. (zum Beispiel);aktiv;1/B9;II;ph;*e.g.* = for example;
on;auf, hier: an;passiv;1/B9;II;pr;;
to connect;verbinden, anschließen;passiv;1/B9;II;v;;
sentence;Satz;passiv;1/B9;II;s;;
connective;Bindeglied, Bindewort;passiv;1/B10;II;s;;
direct speech;direkte Rede;passiv;1/B10;II;s;;
by;indem;passiv;1/B10;II;pr;;
different;anders, andere(r, s), hier: verschieden;aktiv;1/B10;II;a;At London Zoo you can see lots of *different* animals.;
which one;welche(r, s);passiv;1/B10;II;p;;
trouble (no pl);Schwierigkeiten, Ärger;passiv;1/C;II;s;;
to make sb angry;jdn wütend machen;passiv;1/C1;II;ph;;
to collect;sammeln;passiv;1/C1;II;v;;
to get into trouble;in Schwierigkeiten geraten;passiv;1/C1;II;ph;;
him;ihm, ihn;passiv;1/C2;II;p;;
to record;aufzeichnen, aufnehmen;passiv;1/C2;II;v;;
to guess;(er)raten, hier: annehmen;aktiv;1/C2;II;v;Where’s Jill? – I *guess* she’s in the cafeteria.;
head teacher;Schulleiter/in, Direktor/in;passiv;1/C2;II;s;;
that;dass;aktiv;1/C2;II;k;Everybody knows *that* London is in England.;
mistake;Fehler, Irrtum, Versehen;aktiv;1/C2;II;s;;ID 4754623
clear;klar, deutlich, hier: eindeutig;aktiv;1/C2;II;a;The school rules about mobile phones are very *clear*.;
British;britisch;aktiv;1/C2;II;s;;
unacceptable;inakzeptabel, nicht hinnehmbar;passiv;1/C2;II;a;;
It won't happen again.;Es wird nicht wieder vorkommen.;passiv;1/C2;II;ph;;
I don't think so;Das glaube ich nicht;passiv;1/C2;II;ph;;
those (= pl of that);diese;passiv;1/C2;II;d;;
maybe;vielleicht, möglicherweise;aktiv;1/C2;II;av;*maybe* = perhaps;
bored;gelangweilt;passiv;1/C2;II;a;;
fault;Schuld, Fehler;passiv;1/C2;II;s;;
to phone;anrufen, telefonieren;aktiv;1/C2;II;v;Let’s *phone* Lisa. Do you have her phone number?;
as;weil, da;aktiv;1/C2;II;k;*as* = because;
on;auf, hier: über, zu;aktiv;1/C2;II;pr;;
the Romans;die Römer;passiv;1/C2;II;s;;
the Celts;die Kelten;passiv;1/C2;II;s;;
to feel;(sich) fühlen;aktiv;1/C3;II;irr;Mr Blake *feels* very angry.;ID 4754622
to express;ausdrücken, aussprechen;passiv;1/C3;II;v;;
someone;(irgend)jemand, irgendwer;aktiv;1/C3;II;p;*someone* = somebody;
to feel sorry;bedauern, leidtun;passiv;1/C3;II;ph;;
anything;(irgend)etwas, (irgend)was;aktiv;1/C4;II;p;The music is too loud. I can’t hear *anything*.;
a few;einige, wenige;aktiv;1/C6;II;ph;*a few* ↔ a lot of;
note;Notiz, Mitteilung;aktiv;1/C6;II;s;She is writing a *note* during her history lesson.;ID 4754624
each other;einander, gegenseitig;passiv;1/C6;II;ph;;
help;Hilfe;aktiv;1/C6;II;s;If you need *help*, just call me.;
No way! (informal);Ausgeschlossen!;passiv;1/C6;II;ph;;
to show;zeigen;aktiv;1/C6;II;irr;;ID 4754618
Roman;Römer/in, römisch;passiv;1/C6;II;s/a;;
Celt;Kelte/Keltin;passiv;1/C6;II;s;;
how to;wie man;passiv;1/C6;II;ph;;
to disagree;nicht übereinstimmen, nicht einverstanden sein;aktiv;1/C6;II;v;My friend thinks “Twilight” is the best book ever, but I *disagree*.;
to mark;markieren, kennzeichnen;passiv;1/C6;II;v;;
favourite;Liebling, Favorit/in;passiv;1/C7;II;s;;
material;Material, Stoff;passiv;1/C7;II;s;;
on;auf, hier: zu;aktiv;1/C7;II;pr;For our history project, we need material *on* the Celts.;
the BBC (= British Broadcasting Corporation);britische Rundfunkanstalt;passiv;1/C7;II;s;;
without;ohne;aktiv;1/C7;II;pr;*without* ↔ with;
history;Geschichte (als Schulfach);passiv;1/C8;II;s;;
announcement;Bekanntmachung, Mitteilung, Durchsage;passiv;1/C8;II;s;;
over;über;aktiv;1/C8;II;pr;The head teacher made an announcement *over* the PA system.;
PA (= public address) system;Lautsprecheranlage;passiv;1/C8;II;s;;
role;Rolle;aktiv;1/C9;II;s;Lynn is playing the *role* of Cleopatra.;
