_id;Vokabel;processed_vocable;tagged_processed_vocable;processed_vocable_soundex;lemma_vocable;tagged_lemma_vocable;tagged_lemma_simple_vocable;Uebersetzung;processed_translation;tagged_processed_translation;processed_translation_soundex;lemma_translation;tagged_lemma_translation;Status;Fundstelle;Band;Wortart;Beispielsatz;Hinweis
2893;top;['top'];[('top', ['A'])];['T10'];['top'];[('top', ['A'])];[('top', 'A')];obere(r, s);[['obere'], ['oberer'], ['oberes']];[''];[['017'], ['0177'], ['0178']];[''];[''];aktiv;6/A1;III;a;At the top left-hand corner of the picture, there’s a tree.;
2894;left-hand;['left-hand'];[('left-hand', ['A'])];['L13530000'];['left-hand'];[('left-hand', ['A'])];[('left-hand', 'A')];linke(r, s);[['linke'], ['linker'], ['linkes']];[''];[['564'], ['5647'], ['5648']];[''];[''];aktiv;6/A1;III;a;At the top left-hand corner of the picture, there’s a tree.;
2895;right-hand;['right-hand'];[('right-hand', ['A'])];['R235300000'];['right-hand'];[('right-hand', ['A'])];[('right-hand', 'A')];rechte(r, s);[['rechte'], ['rechter'], ['rechtes']];[''];[['742'], ['7427'], ['7428']];[''];[''];aktiv;6/A1;III;a;left-hand ↔ right-hand;
2896;bottom;['bottom'];[('bottom', ['N 3sg'])];['B35000'];['bottom'];[('bottom', ['N 3sg'])];[('bottom', 'N')];Boden, (unteres) Ende;[['Boden'], ['Ende'], ['unteres Ende']];[''];[['126'], ['062'], ['06278 062']];[''];[''];aktiv;6/A1;III;s;;
2897;to recommend;['to recommend'];[('to', ['V TO']), ('recommend', ['V INF'])];['T0 T25530000'];['recommend'];[('recommend', ['V INF'])];[('recommend', 'V')];empfehlen;[['empfehlen']];[''];['061356'];[''];[''];aktiv;6/A3;III;v;Can you recommend a book for the holidays?;
2898;means (of);[['means'], ['means of']];[[('means', ['N 3pl', 'N 3sg'])], [('means', ['N 3pl', 'N 3sg']), ('of', ['Prep'])]];[['M5200'], ['M5200 M1']];[['mean'], ['mean', 'of']];[[('mean', ['N 3pl', 'N 3sg'])], [('mean', ['N 3pl', 'N 3sg']), ('of', ['Prep'])]];[[('mean', 'N')], [('mean', 'N'), ('of', 'Prep')]];Weg, Mittel, hier: Art;[['Weg'], ['Mittel'], ['Art']];[''];[['34'], ['625'], ['072']];[''];[''];aktiv;6/B1;III;s;What is the cheapest means of travel if you want to get to Glasgow from Berlin?;
2899;travel (no pl);['travel'];[('travel', ['N 3sg'])];['T61400'];['travel'];[('travel', ['N 3sg'])];[('travel', 'N')];Reisen;[['Reisen']];[''];['786'];[''];[''];aktiv;6/B1;III;s;What is the cheapest means of travel if you want to get to Glasgow from Berlin?;
2900;travelling;['travelling'];[('travelling', ['V PROG'])];['T614520000'];['travel'];[('travel', ['V PROG'])];[('travel', 'V')];reisend, Reise-, Reisen;[['reisend'], ['Reise-'], ['Reise'], ['Reisen']];[''];[['7862'], ['78'], ['78'], ['786']];[''];[''];aktiv;6/B1;III;s/a;;
2901;flight;['flight'];[('flight', ['N 3sg'])];['F42300'];['flight'];[('flight', ['N 3sg'])];[('flight', 'N')];Flug;[['Flug']];[''];['354'];[''];[''];aktiv;6/B1;III;s;The flight from London to New York takes more than seven hours.;
2902;fare;['fare'];[('fare', ['N 3sg'])];['F600'];['fare'];[('fare', ['N 3sg'])];[('fare', 'N')];(Fahr)preis;[['preis'], ['Fahrpreis']];[''];[['178'], ['37178']];[''];[''];aktiv;6/B1;III;s;fare = price of a ticket;
2903;one-way;['one-way'];[('one-way', ['A'])];['O500000'];['one-way'];[('one-way', ['A'])];[('one-way', 'A')];in eine(r) Richtung, einseitig;[['in eine Richtung'], ['in einer Richtung'], ['einseitig']];[''];[['06 06 74264'], ['06 067 74264'], ['06824']];[''];[''];aktiv;6/B1;III;a;;
2904;average;['average'];[('average', ['A', 'N 3sg'])];['A162000'];['average'];[('average', ['A', 'N 3sg'])];[[('average', 'N')], [('average', 'A')]];(im) Durchschnitt, durchschnittlich;[['Durchschnitt'], ['im Durchschnitt'], ['durchschnittlich']];[''];[['274862'], ['06 274862'], ['27486254']];[''];[''];aktiv;6/B1;III;s/a;The average journey time from London to Liverpool is two hours by train.;
2905;by;['by'];[('by', ['Prep'])];['B0'];['by'];[('by', ['Prep'])];[('by', 'Prep')];von, hier: mit;[['von'], ['mit']];[''];[['36'], ['62']];[''];[''];aktiv;6/B1;III;pr;Zoe likes travelling by train.;ID 4780158
2906;way;['way'];[('way', ['N 3sg'])];['W00'];['way'];[('way', ['N 3sg'])];[('way', 'N')];Weg, hier: Richtung;[['Weg'], ['Richtung']];[''];[['34'], ['74264']];[''];[''];aktiv;6/B1;III;s;;
2907;indirect;['indirect'];[('indirect', ['A'])];['I5362300'];['indirect'];[('indirect', ['A'])];[('indirect', 'A')];indirekt, hier: mit Umstieg;[['indirekt'], ['mit Umstieg']];[''];[['062742'], ['62 06824']];[''];[''];passiv;6/B1;III;a;;
2908;service;['service'];[('service', ['N 3sg'])];['S612000'];['service'];[('service', ['N 3sg'])];[('service', 'N')];Service, Dienst, hier: Verbindung;[['Service'], ['Dienst'], ['Verbindung']];[''];[['873'], ['2682'], ['3716264']];[''];[''];aktiv;6/B1;III;s;There’s a direct service from London to Glasgow.;
2909;via;['via'];[('via', ['Prep'])];['V00'];['via'];[('via', ['Prep'])];[('via', 'Prep')];über, per, via;[['über'], ['per'], ['via']];[''];[['017'], ['17'], ['3']];[''];[''];aktiv;6/B1;III;pr;The train to London goes via Manchester.;
2910;change;['change'];[('change', ['N 3sg'])];['C52000'];['change'];[('change', ['N 3sg'])];[('change', 'N')];(Ver)änderung, Wechsel, Umstellung, hier: Umstieg;[['änderung'], ['Veränderung'], ['Wechsel'], ['Umstellung'], ['Umstieg']];[''];[['062764'], ['3762764'], ['3485'], ['0682564'], ['06824']];[''];[''];aktiv;6/B1;III;s;There is only one change between London and Glasgow on the coach.;
2911;destination;['destination'];[('destination', ['N 3sg'])];['D2353500000'];['destination'];[('destination', ['N 3sg'])];[('destination', 'N')];(Reise)ziel, Bestimmungsort;[['ziel'], ['Reiseziel'], ['Bestimmungsort']];[''];[['85'], ['7885'], ['182664872']];[''];[''];aktiv;6/B1;III;s;Kim should arrive at her destination at six o’clock.;
2912;payment;['payment'];[('payment', ['N 3sg'])];['P553000'];['payment'];[('payment', ['N 3sg'])];[('payment', 'N')];(Be)zahlung;[['zahlung'], ['Bezahlung']];[''];[['8564'], ['18564']];[''];[''];aktiv;6/B1;III;s;;
2913;duration (no pl);['duration'];[('duration', ['N 3sg'])];['D6350000'];['duration'];[('duration', ['N 3sg'])];[('duration', 'N')];Dauer, Länge;[['Dauer'], ['Länge']];[''];[['27'], ['564']];[''];[''];aktiv;6/B1;III;s;The duration of the film is 92 minutes.;
2914;single (ticket);[['single'], ['single ticket']];[[('single', ['N 3sg'])], [('single', ['N 3sg']), ('ticket', ['N 3sg'])]];[['S52400'], ['S52400 S23000']];[['single'], ['single', 'ticket']];[[('single', ['N 3sg'])], [('single', ['N 3sg']), ('ticket', ['N 3sg'])]];[[('single', 'N')], [('single', 'N'), ('ticket', 'N')]];einfache Fahrkarte, Einzelfahrkarte;[['einfache Fahrkarte'], ['Einzelfahrkarte']];[''];[['0634 37472'], ['068537472']];[''];[''];aktiv;6/B1;III;s;single ticket = one-way ticket;
2915;comfortable;['comfortable'];[('comfortable', ['A'])];['C5163140000'];['comfortable'];[('comfortable', ['A'])];[('comfortable', 'A')];behaglich, bequem, komfortabel;[['behaglich'], ['bequem'], ['komfortabel']];[''];[['1454'], ['146'], ['4637215']];[''];[''];aktiv;6/B2;III;a;;
2916;to change;['to change'];[('to', ['V TO']), ('change', ['V INF'])];['T0 T52000'];['change'];[('change', ['V INF'])];[('change', 'V')];(ver)ändern, hier: umsteigen;[['ändern'], ['verändern'], ['umsteigen']];[''];[['06276'], ['376276'], ['068246']];[''];[''];aktiv;6/B2;III;v;To get to Aberystwyth we will have to change trains at Birmingham.;
2917;line;['line'];[('line', ['N 3sg'])];['L500'];['line'];[('line', ['N 3sg'])];[('line', 'N')];Linie, hier auch: Verbindung, Strecke;[['Linie'], ['Verbindung'], ['Strecke']];[''];[['56'], ['3716264'], ['8274']];[''];[''];aktiv;6/B2;III;s;;
2918;departure;['departure'];[('departure', ['N 3sg'])];['D16360000'];['departure'];[('departure', ['N 3sg'])];[('departure', 'N')];Abreise, Abflug, Abfahrt;[['Abreise'], ['Abflug'], ['Abfahrt']];[''];[['0178'], ['01354'], ['01372']];[''];[''];aktiv;6/B2;III;s;Paul had two hours to wait until departure.;
2919;plane;['plane'];[('plane', ['N 3sg'])];['P4500'];['plane'];[('plane', ['N 3sg'])];[('plane', 'N')];Flugzeug;[['Flugzeug']];[''];['35484'];[''];[''];aktiv;6/B2;III;s;;
2920;to reach;['to reach'];[('to', ['V TO']), ('reach', ['V INF'])];['T0 T2000'];['reach'];[('reach', ['V INF'])];[('reach', 'V')];erreichen;[['erreichen']];[''];['0746'];[''];[''];aktiv;6/B2;III;v;After a six-hour journey they reached their destination.;
2921;return (ticket);[['return'], ['return ticket']];[[('return', ['N 3sg'])], [('return', ['N 3sg']), ('ticket', ['N 3sg'])]];[['R36500'], ['R36500 R23000']];[['return'], ['return', 'ticket']];[[('return', ['N 3sg'])], [('return', ['N 3sg']), ('ticket', ['N 3sg'])]];[[('return', 'N')], [('return', 'N'), ('ticket', 'N')]];Rückfahrkarte;[['Rückfahrkarte']];[''];['7437472'];[''];[''];aktiv;6/B2;III;s;return ↔ single ticket;
2922;to sum up;['to sum up'];[('to', ['V TO']), ('sum', ['V INF']), ('up', ['Part'])];['T0 T50 T1'];['sum', 'up'];[('sum', ['V INF']), ('up', ['Part'])];[('sum', 'V'), ('up', 'Part')];resümieren, zusammenfassen;[['resümieren'], ['zusammenfassen']];[''];[['78676'], ['8866386']];[''];[''];aktiv;6/B6;III;ph;Can you sum up your favourite book in a few words?;
2923;space;['space'];[('space', ['N 3sg'])];['S1200'];['space'];[('space', ['N 3sg'])];[('space', 'N')];Raum, hier: Platz;[['Raum'], ['Platz']];[''];[['76'], ['158']];[''];[''];aktiv;6/B6;III;s;The car park was very busy, so Mary couldn't find a parking space.;
2924;airport;['airport'];[('airport', ['N 3sg'])];['A616300'];['airport'];[('airport', ['N 3sg'])];[('airport', 'N')];Flughafen;[['Flughafen']];[''];['35436'];[''];[''];passiv;6/B6;III;s;;
2925;in time;['in time'];[('in', ['Prep']), ('time', ['N 3sg'])];['I5 I500'];['in', 'time'];[('in', ['Prep']), ('time', ['N 3sg'])];[('in', 'Prep'), ('time', 'N')];(gerade noch) rechtzeitig;[['rechtzeitig'], ['gerade noch rechtzeitig']];[''];[['74824'], ['472 64 74824']];[''];[''];aktiv;6/B6;III;ph;Sarah wasn’t late, she made it to the bus in time.;
2926;car park;['car park'];[('car', ['N 3sg']), ('park', ['N 3sg'])];['C60 C620'];['car', 'park'];[('car', ['N 3sg']), ('park', ['N 3sg'])];[('car', 'N'), ('park', 'N')];Parkplatz;[['Parkplatz']];[''];['174158'];[''];[''];passiv;6/B6;III;s;;
2927;security gate;['security gate'];[('security', ['N 3sg']), ('gate', ['N 3sg'])];['S2630000 S300'];['security', 'gate'];[('security', ['N 3sg']), ('gate', ['N 3sg'])];[('security', 'N'), ('gate', 'N')];Fluggastkontrolle, Sicherheitskontrolle;[['Fluggastkontrolle'], ['Sicherheitskontrolle']];[''];[['3548246275'], ['847846275']];[''];[''];passiv;6/B6;III;s;;
2928;queue;['queue'];[('queue', ['N 3sg'])];['Q0000'];['queue'];[('queue', ['N 3sg'])];[('queue', 'N')];Schlange, Reihe;[['Schlange'], ['Reihe']];[''];[['8564'], ['7']];[''];[''];aktiv;6/B6;III;s;The was a big queue to get onto the bus this morning.;ID 6135867
2929;to hug;['to hug'];[('to', ['V TO']), ('hug', ['V INF'])];['T0 T20'];['hug'];[('hug', ['V INF'])];[('hug', 'V')];umarmen;[['umarmen']];[''];['06766'];[''];[''];passiv;6/B6;III;v;;
2930;boarding pass;['boarding pass'];[('boarding', ['N 3sg']), ('pass', ['N 3sg'])];['B6352000 B200'];['board', 'pass'];[('board', ['N 3sg']), ('pass', ['N 3sg'])];[('board', 'N'), ('pass', 'N')];Bordkarte;[['Bordkarte']];[''];['172472'];[''];[''];passiv;6/B6;III;s;;
2931;gate;['gate'];[('gate', ['N 3sg'])];['G300'];['gate'];[('gate', ['N 3sg'])];[('gate', 'N')];Tor, Pforte, Flugsteig;[['Tor'], ['Pforte'], ['Flugsteig']];[''];[['27'], ['1372'], ['354824']];[''];[''];passiv;6/B6;III;s;;
2932;perfume;['perfume'];[('perfume', ['N 3sg'])];['P615000'];['perfume'];[('perfume', ['N 3sg'])];[('perfume', 'N')];Parfüm, Duft;[['Parfüm'], ['Duft']];[''];[['1736'], ['232']];[''];[''];passiv;6/B6;III;s;;
2933;final;['final'];[('final', ['A'])];['F5400'];['final'];[('final', ['A'])];[('final', 'A')];letzte(r, s), entscheidend, endgültig;[['letzte'], ['letzter'], ['letztes'], ['entscheidend'], ['endgültig']];[''];[['582'], ['5827'], ['5828'], ['068262'], ['0624524']];[''];[''];passiv;6/B6;III;a;;
2934;call;['call'];[('call', ['N 3sg'])];['C400'];['call'];[('call', ['N 3sg'])];[('call', 'N')];(Telefon)anruf, Ruf, hier: Aufruf;[['anruf'], ['Telefonanruf'], ['Ruf'], ['Aufruf']];[''];[['0673'], ['2536673'], ['73'], ['0373']];[''];[''];passiv;6/B6;III;s;;
2935;to proceed;['to proceed'];[('to', ['V TO']), ('proceed', ['V INF'])];['T0 T623000'];['proceed'];[('proceed', ['V INF'])];[('proceed', 'V')];fortschreiten, fortfahren, hier: sich begeben;[['fortschreiten'], ['fortfahren'], ['sich begeben']];[''];[['378726'], ['372376'], ['84 1416']];[''];[''];passiv;6/B6;III;v;;
2936;flight attendant;['flight attendant'];[('flight', ['N 3sg']), ('attendant', ['N 3sg'])];['F42300 F35353000'];['flight', 'attendant'];[('flight', ['N 3sg']), ('attendant', ['N 3sg'])];[('flight', 'N'), ('attendant', 'N')];Flugbegleiter/in;[['Flugbegleiter'], ['Flugbegleiterin']];[''];[['35414527'], ['354145276']];[''];[''];passiv;6/B6;III;s;;
2937;to go red (irr);['to go red'];[('to', ['V TO']), ('go', ['V INF']), ('red', ['A'])];['T0 T0 T30'];['go', 'red'];[('go', ['V INF']), ('red', ['A'])];[('go', 'V'), ('red', 'A')];rot werden;[['rot werden']];[''];['72 3726'];[''];[''];passiv;6/B6;III;ph;;
2938;to be left (irr);['to be left'];[('to', ['V TO']), ('be', ['V INF']), ('left', ['V PPART STR', 'V PAST STR'])];['T0 T0 T130'];['be', 'left'];[('be', ['V INF']), ('left', ['V PPART STR', 'V PAST STR'])];[('be', 'V'), ('left', 'V')];übrig bleiben;[['übrig bleiben']];[''];['0174 1516'];[''];[''];aktiv;6/B6;III;ph;After the party there was no cake left. We ate it all.;
2939;empty;['empty'];[('empty', ['A'])];['E5130'];['empty'];[('empty', ['A'])];[('empty', 'A')];leer, hier: frei;[['leer'], ['frei']];[''];[['57'], ['37']];[''];[''];aktiv;6/B6;III;a;Is this seat empty? May I sit here?;
2940;unpleasant;['unpleasant'];[('unpleasant', ['A'])];['U514253000'];['unpleasant'];[('unpleasant', ['A'])];[('unpleasant', 'A')];unerfreulich, unangenehm;[['unerfreulich'], ['unangenehm']];[''];[['0673754'], ['066466']];[''];[''];passiv;6/B6;III;a;;
2941;ugly;['ugly'];[('ugly', ['A'])];['U240'];['ugly'];[('ugly', ['A'])];[('ugly', 'A')];hässlich, scheußlich, übel;[['hässlich'], ['scheußlich'], ['übel']];[''];[['0854'], ['8854'], ['015']];[''];[''];aktiv;6/B6;III;a;ugly ↔ beautiful;
2942;litter (no pl);['litter'];[('litter', ['N 3sg'])];['L36000'];['litter'];[('litter', ['N 3sg'])];[('litter', 'N')];Müll, Abfall;[['Müll'], ['Abfall']];[''];[['65'], ['0135']];[''];[''];passiv;6/B6;III;s;;
2943;playground;['playground'];[('playground', ['N 3sg'])];['P426530000'];['playground'];[('playground', ['N 3sg'])];[('playground', 'N')];Spielplatz;[['Spielplatz']];[''];['815158'];[''];[''];passiv;6/B6;III;s;;
2944;proud;['proud'];[('proud', ['A'])];['P6300'];['proud'];[('proud', ['A'])];[('proud', 'A')];stolz;[['stolz']];[''];['8258'];[''];[''];aktiv;6/B6;III;a;Harry’s parents were very proud of his exam results.;
2945;traffic jam;['traffic jam'];[('traffic', ['N 3sg']), ('jam', ['N 3sg'])];['T612000 T50'];['traffic', 'jam'];[('traffic', ['N 3sg']), ('jam', ['N 3sg'])];[('traffic', 'N'), ('jam', 'N')];Stau;[['Stau']];[''];['82'];[''];[''];aktiv;6/B6;III;s;There was a big traffic jam, so we were very late.;
2946;to feel sick (irr);['to feel sick'];[('to', ['V TO']), ('feel', ['V INF']), ('sick', ['A'])];['T0 T400 T200'];['feel', 'sick'];[('feel', ['V INF']), ('sick', ['A'])];[('feel', 'V'), ('sick', 'A')];schlecht sein, sich schlecht fühlen;[['schlecht sein'], ['sich schlecht fühlen']];[''];[['8542 86'], ['84 8542 356']];[''];[''];aktiv;6/B6;III;ph;After Tim had eaten three hamburgers, he felt sick.;
2947;exit;['exit'];[('exit', ['N 3sg'])];['E230'];['exit'];[('exit', ['N 3sg'])];[('exit', 'N')];Ausgang, Weggehen, Ausfahrt;[['Ausgang'], ['Weggehen'], ['Ausfahrt']];[''];[['08464'], ['346'], ['08372']];[''];[''];passiv;6/B6;III;s;;
2948;uncertain;['uncertain'];[('uncertain', ['A'])];['U52635000'];['uncertain'];[('uncertain', ['A'])];[('uncertain', 'A')];unsicher;[['unsicher']];[''];['06847'];[''];[''];passiv;6/B6;III;a;;
2949;environmental;['environmental'];[('environmental', ['A'])];['E516553400000'];['environmental'];[('environmental', ['A'])];[('environmental', 'A')];Umwelt-, die Umwelt betreffend, ökologisch;[['Umwelt-'], ['Umwelt'], ['die Umwelt betreffend'], ['ökologisch']];[''];[['06352'], ['06352'], ['2 06352 127362'], ['04548']];[''];[''];aktiv;6/B6;III;a;Climate change causes lots of environmental problems.;
2950;ages (only pl, informal);['ages'];[('ages', ['N 3pl'])];['A220'];['age'];[('age', ['N 3pl'])];[('age', 'N')];eine Ewigkeit, Ewigkeiten;[['eine Ewigkeit'], ['Ewigkeiten']];[''];[['06 0342'], ['03426']];[''];[''];aktiv;6/B6;III;s;Jill was happy to meet Kim again. They hadn’t met for ages.;
2951;supporter;['supporter'];[('supporter', ['N 3sg'])];['S16360000'];['supporter'];[('supporter', ['N 3sg'])];[('supporter', 'N')];Unterstützer/in, Anhänger/in, Verfechter/in;[['Unterstützer'], ['Unterstützerin'], ['Anhänger'], ['Anhängerin'], ['Verfechter'], ['Verfechterin']];[''];[['06278287'], ['062782876'], ['06647'], ['066476'], ['373427'], ['3734276']];[''];[''];aktiv;6/B6;III;s;Charlie is a big supporter of Arsenal FC.;
2952;neighbourhood;['neighbourhood'];[('neighbourhood', ['N 3sg'])];['N216300000000'];['neighbourhood'];[('neighbourhood', ['N 3sg'])];[('neighbourhood', 'N')];Nachbarschaft;[['Nachbarschaft']];[''];['6417832'];[''];[''];aktiv;6/B6;III;s;I think that girl lives in my neighbourhood. I see her almost every day.;
2953;to reduce;['to reduce'];[('to', ['V TO']), ('reduce', ['V INF'])];['T0 T32000'];['reduce'];[('reduce', ['V INF'])];[('reduce', 'V')];verringern, reduzieren;[['verringern'], ['reduzieren']];[''];[['376476'], ['72876']];[''];[''];aktiv;6/B6;III;v;We need to reduce how much waste we throw away.;
2954;healthy;['healthy'];[('healthy', ['A'])];['H430000'];['healthy'];[('healthy', ['A'])];[('healthy', 'A')];gesund;[['gesund']];[''];['4862'];[''];[''];aktiv;6/B6;III;s;Fruit and vegetables are healthy foods.;
2955;to plant;['to plant'];[('to', ['V TO']), ('plant', ['V INF'])];['T0 T4530'];['plant'];[('plant', ['V INF'])];[('plant', 'V')];pflanzen;[['pflanzen']];[''];['135686'];[''];[''];passiv;6/B6;III;v;;
2956;thrilled;['thrilled'];[('thrilled', [['A']])];['T6430000'];['thrill'];[('thrill', [['A']])];[('thrill', 'A')];außer sich vor Freude;[['außer sich vor Freude']];[''];['087 84 37 372'];[''];[''];aktiv;6/B6;III;a;;
2957;to grow (irr);['to grow'];[('to', ['V TO']), ('grow', ['V INF'])];['T0 T600'];['grow'];[('grow', ['V INF'])];[('grow', 'V')];wachsen, gedeihen, anbauen;[['wachsen'], ['gedeihen'], ['anbauen']];[''];[['3486'], ['426'], ['0616']];[''];[''];aktiv;6/B6;III;v;My grandad grows tomatoes in his garden.;
2958;edible;['edible'];[('edible', ['A'])];['E31400'];['edible'];[('edible', ['A'])];[('edible', 'A')];essbar, genießbar;[['essbar'], ['genießbar']];[''];[['0817'], ['46817']];[''];[''];passiv;6/B6;III;a;;
2959;bus stop;['bus stop'];[('bus', ['N 3sg']), ('stop', ['N 3sg'])];['B20 B310'];['bus', 'stop'];[('bus', ['N 3sg']), ('stop', ['N 3sg'])];[('bus', 'N'), ('stop', 'N')];Bushaltestelle;[['Bushaltestelle']];[''];['1852825'];[''];[''];passiv;6/B6;III;s;;
2960;to vandalize;['to vandalize'];[('to', ['V TO']), ('vandalize', ['V INF'])];['T0 T53420000'];['vandalize'];[('vandalize', ['V INF'])];[('vandalize', 'V')];mutwillig zerstören, verwüsten;[['mutwillig zerstören'], ['verwüsten']];[''];[['62354 878276'], ['373826']];[''];[''];passiv;6/B6;III;v;;
2961;guerrilla gardening (no pl);['guerrilla gardening'];[('guerrilla', ['N 3sg']), ('gardening', ['V PROG'])];['G64000000 G63552000'];['guerrilla', 'garden'];[('guerrilla', ['N 3sg']), ('garden', ['V PROG'])];[('guerrilla', 'N'), ('garden', 'V')];heimliche Pflanzaktion;[['heimliche Pflanzaktion']];[''];['0654 13568426'];[''];[''];passiv;6/B6;III;s;;
2962;urban;['urban'];[('urban', ['A'])];['U6150'];['urban'];[('urban', ['A'])];[('urban', 'A')];(groß)städtisch, urban;[['(groß)städtisch'], ['großstädtisch'], ['urban']];[''];[['478  8228'], ['478228'], ['0716']];[''];[''];aktiv;6/B6;III;a;;
2963;section;['section'];[('section', ['N 3sg'])];['S235000'];['section'];[('section', ['N 3sg'])];[('section', 'N')];Teil, Abschnitt, Abteilung;[['Teil'], ['Abschnitt'], ['Abteilung']];[''];[['25'], ['01862'], ['012564']];[''];[''];passiv;6/B6;III;s;;
2964;out and about;['out and about'];[('out', ['Adv']), ('and', ['Conj']), ('about', ['Adv'])];['O30 O53 O1300'];['out', 'and', 'about'];[('out', ['Adv']), ('and', ['Conj']), ('about', ['Adv'])];[('out', 'Adv'), ('and', 'Conj'), ('about', 'Adv')];auf den Beinen sein;[['auf den Beinen sein']];[''];['03 26 166 86'];[''];[''];passiv;6/C1;III;ph;;
2965;haggis (no pl);['haggis'];[('haggis', ['N 3sg'])];['H22000'];['haggis'];[('haggis', ['N 3sg'])];[('haggis', 'N')];schottisches Gericht;[['schottisches Gericht']];[''];['8288 4742'];[''];[''];passiv;6/C1;III;s;;
2966;cathedral;['cathedral'];[('cathedral', ['N 3sg'])];['C33640000'];['cathedral'];[('cathedral', ['N 3sg'])];[('cathedral', 'N')];Kathedrale, Dom, Münster;[['Kathedrale'], ['Dom'], ['Münster']];[''];[['42275'], ['26'], ['66827']];[''];[''];aktiv;6/C1;III;s;;
2967;necropolis;['necropolis'];[('necropolis', ['N 3sg'])];['N261420000'];['necropolis'];[('necropolis', ['N 3sg'])];[('necropolis', 'N')];Totenstadt, Gräberfeld;[['Totenstadt'], ['Gräberfeld']];[''];[['226822'], ['4717352']];[''];[''];passiv;6/C1;III;s;;
2968;award;['award'];[('award', ['N 3sg'])];['A6300'];['award'];[('award', ['N 3sg'])];[('award', 'N')];Preis, Auszeichnung;[['Preis'], ['Auszeichnung']];[''];[['178'], ['084664']];[''];[''];passiv;6/C3;III;s;;
2969;level;['level'];[('level', ['N 3sg'])];['L1400'];['level'];[('level', ['N 3sg'])];[('level', 'N')];Niveau, Höhe, Ebene, Stufe;[['Niveau'], ['Höhe'], ['Ebene'], ['Stufe']];[''];[['63'], ['0'], ['016'], ['823']];[''];[''];passiv;6/C3;III;s;;
2970;silver;['silver'];[('silver', ['A', 'N 3sg', 'N 3pl'])];['S41600'];['silver'];[('silver', ['A', 'N 3sg', 'N 3pl'])];[[('silver', 'N')], [('silver', 'A')]];Silber(-), silbern;[['Silber'], ['silbern']];[''];[['8517'], ['85176']];[''];[''];aktiv;6/C3;III;s/a;;
2971;to achieve;['to achieve'];[('to', ['V TO']), ('achieve', ['V INF'])];['T0 T210000'];['achieve'];[('achieve', ['V INF'])];[('achieve', 'V')];erreichen, erlangen, erzielen;[['erreichen'], ['erlangen'], ['erzielen']];[''];[['0746'], ['075646'], ['07856']];[''];[''];aktiv;6/C3;III;v;Leon has achieved what he wanted to. He worked hard and was very successful.;
2972;to volunteer;['to volunteer'];[('to', ['V TO']), ('volunteer', ['V INF'])];['T0 T45360000'];['volunteer'];[('volunteer', ['V INF'])];[('volunteer', 'V')];sich freiwillig melden, hier: ehrenamtlich tätig sein;[['sich freiwillig melden'], ['ehrenamtlich tätig sein']];[''];[['84 37354 6526'], ['0766254 224 86']];[''];[''];aktiv;6/C3;III;v;Ed volunteers every week at the charity shop.;
2973;physical;['physical'];[('physical', ['A'])];['P2240000'];['physical'];[('physical', ['A'])];[('physical', 'A')];körperlich, physisch;[['körperlich'], ['physisch']];[''];[['471754'], ['388']];[''];[''];aktiv;6/C3;III;a;;
2974;skill;['skill'];[('skill', ['N 3sg'])];['S4000'];['skill'];[('skill', ['N 3sg'])];[('skill', 'N')];Geschick, hier: Fähigkeit, Fertigkeit;[['Geschick'], ['Fähigkeit'], ['Fertigkeit']];[''];[['484'], ['342'], ['37242']];[''];[''];aktiv;6/C3;III;s;;
2975;residential;['residential'];[('residential', ['A'])];['R2353400000'];['residential'];[('residential', ['A'])];[('residential', 'A')];Wohn-, Aufenthalts-;[['Wohn-'], ['Wohn'], ['Aufenthalts-'], ['Aufenthalts']];[''];[['36'], ['36'], ['036258'], ['036258']];[''];[''];passiv;6/C3;III;a;;
2976;conservation (no pl);['conservation'];[('conservation', ['N 3sg'])];['C52613500000'];['conservation'];[('conservation', ['N 3sg'])];[('conservation', 'N')];Schutz, Erhaltung;[['Schutz'], ['Erhaltung']];[''];[['88'], ['075264']];[''];[''];passiv;6/C3;III;s;;
2977;charity;['charity'];[('charity', ['N 3sg'])];['C630000'];['charity'];[('charity', ['N 3sg'])];[('charity', 'N')];Barmherzigkeit, Mildtätigkeit, hier: Wohltätigkeitsorganisation;[['Barmherzigkeit'], ['Mildtätigkeit'], ['Wohltätigkeitsorganisation']];[''];[['1767842'], ['652242'], ['352248746826']];[''];[''];passiv;6/C3;III;s;;
2978;Olympic;['Olympic'];[('Olympic', ['A'])];['O451200'];['Olympic'];[('Olympic', ['A'])];[('Olympic', 'A')];olympisch;[['olympisch']];[''];['05618'];[''];[''];passiv;6/C3;III;a;;
2979;rock climbing (no pl);['rock climbing'];[('rock', ['N 3sg']), ('climbing', ['N 3sg'])];['R200 R4515200'];['rock', 'climb'];[('rock', ['N 3sg']), ('climb', ['N 3sg'])];[('rock', 'N'), ('climb', 'N')];Klettern;[['Klettern']];[''];['45276'];[''];[''];passiv;6/C3;III;s;;
2980;wheelchair;['wheelchair'];[('wheelchair', ['N 3sg'])];['W426000000'];['wheel-chair'];[('wheel-chair', ['N 3sg'])];[('wheel-chair', 'N')];Rollstuhl;[['Rollstuhl']];[''];['75825'];[''];[''];passiv;6/C3;III;s;;
