_id;Vokabel;processed_vocable;tagged_processed_vocable;processed_vocable_soundex;lemma_vocable;tagged_lemma_vocable;tagged_lemma_simple_vocable;Uebersetzung;processed_translation;tagged_processed_translation;processed_translation_soundex;lemma_translation;tagged_lemma_translation;Status;Fundstelle;Band;Wortart;Beispielsatz;Hinweis
2774;vegetarian;['vegetarian'];[('vegetarian', ['A', 'N 3sg'])];['V236500000'];['vegetarian'];[('vegetarian', ['A', 'N 3sg'])];[[('vegetarian', 'N')], [('vegetarian', 'A')]];Vegetarier/in, vegetarisch;[['Vegetarier'], ['Vegetarierin'], ['vegetarisch']];[''];[['34277'], ['342776'], ['34278']];[''];[''];aktiv;5/A4;III;s/a;;
2775;custom;['custom'];[('custom', ['N 3sg'])];['C23500'];['custom'];[('custom', ['N 3sg'])];[('custom', 'N')];Sitte, Brauch, Gewohnheit;[['Sitte'], ['Brauch'], ['Gewohnheit']];[''];[['82'], ['174'], ['4362']];[''];[''];passiv;5/B1;III;s;;
2776;to get on (with sb) (irr);[['to get on'], ['to get on with sb'], ['to get on with']];[[('to', ['V TO']), ('get', ['V INF']), ('on', ['Part'])], [('to', ['V TO']), ('get', ['V INF']), ('on', ['Part']), ('with', ['Prep'])]];[['T0 T30 T5'], ['T0 T30 T5 T300 T1'], ['T0 T30 T5 T300']];[['get', 'on'], ['get', 'on', 'with']];[[('get', ['V INF']), ('on', ['Part'])], [('get', ['V INF']), ('on', ['Part']), ('with', ['Prep'])]];[[('get', 'V'), ('on', 'Part')], [('get', 'V'), ('on', 'Part'), ('with', 'Prep')]];sich (mit jdm) verstehen;[['sich verstehen'], ['sich mit jdm verstehen']];[''];[['84 37826'], ['84 62 026 37826']];[''];[''];aktiv;5/B2;III;ph;Ben and his brother get on really well with each other.;
2777;tea (no pl);['tea'];[('tea', ['N 3sg'])];['T00'];['tea'];[('tea', ['N 3sg'])];[('tea', 'N')];Tee;[['Tee']];[''];['2'];[''];[''];aktiv;5/B3;III;s;a cup of tea;ID 5143595
2778;biscuit;['biscuit'];[('biscuit', ['N 3sg'])];['B230000'];['biscuit'];[('biscuit', ['N 3sg'])];[('biscuit', 'N')];Keks, Biskuit;[['Keks'], ['Biskuit']];[''];[['448'], ['1842']];[''];[''];aktiv;5/B3;III;s;;
2779;tap water (no pl);['tap water'];[('tap', ['N 3sg']), ('water', ['N 3sg'])];['T10 T3600'];['tap', 'water'];[('tap', ['N 3sg']), ('water', ['N 3sg'])];[('tap', 'N'), ('water', 'N')];Leitungswasser;[['Leitungswasser']];[''];['52648387'];[''];[''];passiv;5/B3;III;s;;
2780;tap;['tap'];[('tap', ['N 3sg'])];['T10'];['tap'];[('tap', ['N 3sg'])];[('tap', 'N')];(Wasser)hahn;[['hahn'], ['Wasserhahn']];[''];[['06'], ['3876']];[''];[''];passiv;5/B3;III;s;;
2781;bottled;['bottled'];[('bottled', [['A']])];['B343000'];['bottle'];[('bottle', [['A']])];[('bottle', 'A')];in Flaschen abgefüllt;[['in Flaschen abgefüllt']];[''];['06 3586 014352'];[''];[''];passiv;5/B3;III;a;;
2782;to be thirsty (irr);['to be thirsty'];[('to', ['V TO']), ('be', ['V INF']), ('thirsty', ['A'])];['T0 T0 T623000'];['be', 'thirsty'];[('be', ['V INF']), ('thirsty', ['A'])];[('be', 'V'), ('thirsty', 'A')];Durst haben, durstig sein;[['Durst haben'], ['durstig sein']];[''];[['2782 016'], ['27824 86']];[''];[''];aktiv;5/B3;III;ph;I’m really thirsty. May I have a drink?;
2783;curry;['curry'];[('curry', ['N 3sg'])];['C6000'];['curry'];[('curry', ['N 3sg'])];[('curry', 'N')];hier: indisches (Eintopf)gericht;[['indisches gericht'], ['indisches Eintopfgericht']];[''];[['06288 4742'], ['06288 062134742']];[''];[''];passiv;5/B3;III;s;;
2784;Indian;['Indian'];[('Indian', ['A', 'N 3sg'])];['I53500'];['Indian'];[('Indian', ['A', 'N 3sg'])];[[('Indian', 'N')], [('Indian', 'A')]];Inder/in, Indianer/in, indisch, indianisch;[['Inder'], ['Inderin'], ['Indianer'], ['Indianerin'], ['indisch'], ['indianisch']];[''];[['0627'], ['06276'], ['06267'], ['062676'], ['0628'], ['06268']];[''];[''];passiv;5/B3;III;s/a;;
2785;musician;['musician'];[('musician', ['N 3sg'])];['M2250000'];['musician'];[('musician', ['N 3sg'])];[('musician', 'N')];Musiker/in;[['Musiker'], ['Musikerin']];[''];[['6847'], ['68476']];[''];[''];aktiv;5/B3;III;s;Pink and Robbie Williams are famous musicians.;
2786;to mean to do sth (irr);[['to mean to do'], ['to mean to do sth']];[[('to', ['V TO']), ('mean', ['V INF']), ('to', ['V TO']), ('do', ['V INF'])]];[['T0 T500 T0 T0'], ['T0 T500 T0 T0 T30']];[['mean', 'to', 'do']];[[('mean', ['V INF']), ('to', ['V TO']), ('do', ['V INF'])]];[[('mean', 'V'), ('to', 'V'), ('do', 'V')]];etw tun wollen, etw beabsichtigen;[['etw tun wollen'], ['etw beabsichtigen']];[''];[['023 26 356'], ['023 1184246']];[''];[''];aktiv;5/B3;III;ph;William didn’t mean to be late, but he missed the bus.;
2787;shower;['shower'];[('shower', ['N 3sg'])];['S60000'];['shower'];[('shower', ['N 3sg'])];[('shower', 'N')];Schauer, Regen, Dusche;[['Schauer'], ['Regen'], ['Dusche']];[''];[['87'], ['746'], ['28']];[''];[''];passiv;5/B3;III;s;;
2788;ought to do sth;[['ought to do'], ['ought to do sth']];[[('ought', ['V PRES']), ('to', ['V TO']), ('do', ['V INF'])]];[['O2300 O0 O0'], ['O2300 O0 O0 O30']];[['aught', 'to', 'do']];[[('aught', ['V PRES']), ('to', ['V TO']), ('do', ['V INF'])]];[[('aught', 'V'), ('to', 'V'), ('do', 'V')]];etw tun sollen;[['etw tun sollen']];[''];['023 26 856'];[''];[''];aktiv;5/B3;III;ph;I ought to tidy my room, but I’m tired.;
2789;choosy;['choosy'];[('choosy', ['A'])];['C20000'];['choosy'];[('choosy', ['A'])];[('choosy', 'A')];wählerisch, heikel;[['wählerisch'], ['heikel']];[''];[['3578'], ['045']];[''];[''];aktiv;5/B5;III;a;Claire is very choosy. She doesn’t like a lot of things.;
2790;spicy;['spicy'];[('spicy', ['A'])];['S1200'];['spicy'];[('spicy', ['A'])];[('spicy', 'A')];würzig, scharf;[['würzig'], ['scharf']];[''];[['3784'], ['873']];[''];[''];passiv;5/B5;III;a;;
2791;tea bag;['tea bag'];[('tea', ['N 3sg']), ('bag', ['N 3sg'])];['T00 T20'];['tea', 'bag'];[('tea', ['N 3sg']), ('bag', ['N 3sg'])];[('tea', 'N'), ('bag', 'N')];Teebeutel;[['Teebeutel']];[''];['2125'];[''];[''];passiv;5/B5;III;s;;
2792;direct;['direct'];[('direct', ['A'])];['D62300'];['direct'];[('direct', ['A'])];[('direct', 'A')];direkt, unmittelbar;[['direkt'], ['unmittelbar']];[''];[['2742'], ['062517']];[''];[''];aktiv;5/B5;III;a;Chris is very direct and always says what he is thinking.;
2793;neither of ...;['neither of'];[('neither', ['CC']), ('of', ['Prep'])];['N360000 N1'];['neither', 'of'];[('neither', ['CC']), ('of', ['Prep'])];[('neither', 'CC'), ('of', 'Prep')];keine(r)/kein(e)s von ... beiden;[['keine von beiden'], ['keiner von beiden'], ['keins von beiden'], ['keines von beiden']];[''];[['46 36 126'], ['467 36 126'], ['468 36 126'], ['468 36 126']];[''];[''];passiv;5/B5;III;ph;;
2794;to apologize (to/for);[['to apologize'], ['to apologize to'], ['to apologize for']];[[('to', ['V TO']), ('apologize', ['V INF'])], [('to', ['V TO']), ('apologize', ['V INF']), ('to', ['V TO'])], [('to', ['V TO']), ('apologize', ['V INF']), ('for', [['V']])]];[['T0 T14220000'], ['T0 T14220000 T0'], ['T0 T14220000 T60']];[['apologize'], ['apologize', 'to'], ['apologize', 'for']];[[('apologize', ['V INF'])], [('apologize', ['V INF']), ('to', ['V TO'])], [('apologize', ['V INF']), ('for', [['V']])]];[[('apologize', 'V')], [('apologize', 'V'), ('to', 'V')], [('apologize', 'V'), ('for', 'V')]];sich entschuldigen (bei/für);[['sich entschuldigen bei'], ['sich entschuldigen für']];[''];[['84 0685246 1'], ['84 0685246 37']];[''];[''];aktiv;5/B9;III;v;Tim didn’t apologize when he was late for class, so his teacher was very angry.;
2795;apology;['apology'];[('apology', ['N 3sg'])];['A142000'];['apology'];[('apology', ['N 3sg'])];[('apology', 'N')];Entschuldigung, Bedauern;[['Entschuldigung'], ['Bedauern']];[''];[['06852464'], ['1276']];[''];[''];aktiv;5/B9;III;s;You broke Harry's Xbox so I think an apology is needed. – I'm sorry Harry.;
2796;misunderstanding;['misunderstanding'];[('misunderstanding', ['N 3sg'])];['M253623535200000'];['misunderstand'];[('misunderstand', ['N 3sg'])];[('misunderstand', 'N')];Missverständnis, Meinungsverschiedenheit;[['Missverständnis'], ['Meinungsverschiedenheit']];[''];[['6837826268'], ['66648378262']];[''];[''];aktiv;5/B10;III;s;There must have been a misunderstanding, I asked for apple juice, not orange juice.;
2797;expression;['expression'];[('expression', ['N 3sg'])];['E216250000'];['expression'];[('expression', ['N 3sg'])];[('expression', 'N')];Ausdruck, Äußerung;[['Ausdruck'], ['Äußerung']];[''];[['08274'], ['08764']];[''];[''];aktiv;5/B10;III;s;;
2798;combination;['combination'];[('combination', ['N 3sg'])];['C5153500000'];['combination'];[('combination', ['N 3sg'])];[('combination', 'N')];Kombination, Verbindung;[['Kombination'], ['Verbindung']];[''];[['461626'], ['3716264']];[''];[''];aktiv;5/B11;III;s;Ice cream and chocolate are a great combination.;
2799;Bengali;['Bengali'];[('Bengali', ['A', 'N 3sg'])];['B524000'];['Bengali'];[('Bengali', ['A', 'N 3sg'])];[[('Bengali', 'N')], [('Bengali', 'A')]];Bengale/Bengalin, Bengali (Sprache), bengalisch;[['Bengale'], ['Bengalin'], ['Bengali'], ['bengalisch']];[''];[['1645'], ['16456'], ['1645'], ['16458']];[''];[''];passiv;5/B11;III;s/a;;
2800;line;['line'];[('line', ['N 3sg'])];['L500'];['line'];[('line', ['N 3sg'])];[('line', 'N')];Linie, hier: Reihe;[['Linie'], ['Reihe']];[''];[['56'], ['7']];[''];[''];aktiv;5/B11;III;s;;
2801;balti (no pl);['balti'];[('balti', ['PropN sg'])];['B4300'];['balti'];[('balti', ['PropN sg'])];[('balti', 'PropN')];pakistanische Art des Kochens;[['pakistanische Art des Kochens']];[''];['148268 072 28 4468'];[''];[''];passiv;5/B11;III;s;;
2802;fabric;['fabric'];[('fabric', ['N 3sg'])];['F16200'];['fabric'];[('fabric', ['N 3sg'])];[('fabric', 'N')];Stoff;[['Stoff']];[''];['823'];[''];[''];passiv;5/B11;III;s;;
2803;once;['once'];[('once', ['Adv'])];['O520'];['once'];[('once', ['Adv'])];[('once', 'Adv')];früher, einst;[['früher'], ['einst']];[''];[['377'], ['0682']];[''];[''];aktiv;5/B11;III;av;Claire's dad was once in a band. He played the guitar.;
2804;elsewhere;['elsewhere'];[('elsewhere', ['Adv'])];['E42600000'];['elsewhere'];[('elsewhere', ['Adv'])];[('elsewhere', 'Adv')];woanders, anderswo;[['woanders'], ['anderswo']];[''];[['36278'], ['062783']];[''];[''];passiv;5/B11;III;av;;
2805;brewery;['brewery'];[('brewery', ['N 3sg'])];['B660000'];['brewery'];[('brewery', ['N 3sg'])];[('brewery', 'N')];Brauerei;[['Brauerei']];[''];['177'];[''];[''];passiv;5/B11;III;s;;
2806;independent;['independent'];[('independent', ['A'])];['I5315353000'];['independent'];[('independent', ['A'])];[('independent', 'A')];unabhängig, selbstständig;[['unabhängig'], ['selbstständig']];[''];[['061644'], ['85182624']];[''];[''];aktiv;5/B11;III;a;Hanna is very independent. She does a lot of things on her own.;
2807;business (no pl);['business'];[('business', ['N 3sg'])];['B2520000'];['business'];[('business', ['N 3sg'])];[('business', 'N')];Handel, Geschäft, hier: Unternehmen;[['Handel'], ['Geschäft'], ['Unternehmen']];[''];[['0625'], ['4832'], ['0627666']];[''];[''];passiv;5/B11;III;s;;
2808;type;['type'];[('type', ['N 3sg'])];['T100'];['type'];[('type', ['N 3sg'])];[('type', 'N')];Art, Typ, Sorte;[['Art'], ['Typ'], ['Sorte']];[''];[['072'], ['21'], ['872']];[''];[''];aktiv;5/B11;III;s;There were so many types of crisps in the shop. She didn't know which to buy.;ID 6114290
2809;bakery;['bakery'];[('bakery', ['N 3sg'])];['B26000'];['bakery'];[('bakery', ['N 3sg'])];[('bakery', 'N')];Bäckerei, Bäcker- und Konditorei;[['Bäckerei'], ['Bäcker- und Konditorei']];[''];[['147'], ['147 062 46227']];[''];[''];passiv;5/B11;III;s;;
2810;paragraph;['paragraph'];[('paragraph', ['N 3sg'])];['P62610000'];['paragraph'];[('paragraph', ['N 3sg'])];[('paragraph', 'N')];Absatz, Abschnitt;[['Absatz'], ['Abschnitt']];[''];[['0188'], ['01862']];[''];[''];passiv;5/B14;III;s;;
